period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1030,5,prior,20,248,-1.783834557544983,-9.442929523895156,5.944323045031893,0.65
screen_2024,cutoff_1030,5,prior,50,248,-1.783834557544983,-10.761494663227849,8.423245513110706,0.652
screen_2024,cutoff_1130,5,model,20,248,-51.24884369309785,-72.69924340550389,-30.106515742971403,1.0
screen_2024,cutoff_1130,5,model,50,248,-51.24884369309785,-69.44129360486983,-28.13425778101915,1.0
screen_2024,cutoff_1130,5,prior,20,248,-2.639478610082789,-9.358902907009078,5.037435596155614,0.758
screen_2024,cutoff_1130,5,prior,50,248,-2.639478610082789,-10.521246790500449,5.733228877738379,0.728
screen_2024,cutoff_1230,5,model,20,248,-51.37978295577866,-72.08938858944666,-30.744944311196093,1.0
screen_2024,cutoff_1230,5,model,50,248,-51.37978295577866,-69.11406586703775,-28.94234920304152,1.0
screen_2024,cutoff_1230,5,prior,20,248,-2.8850542234725607,-10.066995416567725,3.751192672427887,0.786
screen_2024,cutoff_1230,5,prior,50,248,-2.8850542234725607,-10.560979565201343,5.647548208192225,0.74
screen_2024,cutoff_1330,5,model,20,248,-52.730858659410295,-75.05620267454502,-32.05403921135716,1.0
screen_2024,cutoff_1330,5,model,50,248,-52.730858659410295,-71.13648350193102,-28.82429978260114,1.0
screen_2024,cutoff_1330,5,prior,20,248,-3.6351441602560186,-10.118894104292448,3.438592913965545,0.836
screen_2024,cutoff_1330,5,prior,50,248,-3.6351441602560186,-11.457222440195824,5.002340278040893,0.801
screen_2024,cutoff_1430,5,model,20,248,-51.12466823717346,-71.85601159293186,-30.11761720966799,1.0
screen_2024,cutoff_1430,5,model,50,248,-51.12466823717346,-69.57587037198974,-28.031260253011265,1.0
screen_2024,cutoff_1430,5,prior,20,248,-4.033729819890959,-10.923971798625102,2.675665665142234,0.864
screen_2024,cutoff_1430,5,prior,50,248,-4.033729819890959,-12.012924169598834,4.79104750600109,0.84
screen_2024,cutoff_1500,5,model,20,248,-50.14445709017335,-71.348361680454,-28.979214438572704,1.0
screen_2024,cutoff_1500,5,model,50,248,-50.14445709017335,-67.98274055033043,-27.795726613692246,1.0
screen_2024,cutoff_1500,5,prior,20,248,-4.292920953714852,-11.149079737045065,2.2921556539170798,0.886
screen_2024,cutoff_1500,5,prior,50,248,-4.292920953714852,-11.641805360391642,3.918135485230741,0.847
screen_2024,cutoff_1520,5,model,20,248,-49.50900175521402,-70.24266358187123,-28.574708934640437,1.0
screen_2024,cutoff_1520,5,model,50,248,-49.50900175521402,-67.3741694456792,-26.91472795005744,1.0
screen_2024,cutoff_1520,5,prior,20,248,-4.487752183840432,-11.312850471385419,2.1793150265950465,0.892
screen_2024,cutoff_1520,5,prior,50,248,-4.487752183840432,-12.428466984877192,4.268882152134602,0.865
screen_2024,cutoff_1530,5,model,20,248,-49.45042671845478,-71.20373827747663,-29.307065518822128,1.0
screen_2024,cutoff_1530,5,model,50,248,-49.45042671845478,-66.364033596557,-26.83209162087931,1.0
screen_2024,cutoff_1530,5,prior,20,248,-4.517737879482463,-10.613398673646882,2.9175113282758107,0.916
screen_2024,cutoff_1530,5,prior,50,248,-4.517737879482463,-11.966972012768387,3.770286695817243,0.865
screen_2024,early_1000,5,model,20,248,-244.1188664122097,-447.09026080597886,-93.45999756660352,1.0
screen_2024,early_1000,5,model,50,248,-244.1188664122097,-469.13278623546097,-42.48745980712931,1.0
screen_2024,early_1000,5,prior,20,248,23.475493721460765,-0.7267618033734992,66.685459263632,0.044
screen_2024,early_1000,5,prior,50,248,23.475493721460765,-1.5802800055103037,65.4236372240152,0.092
screen_2024,premarket,5,model,20,248,-55.64922140161111,-77.54514206118611,-34.65866552796304,1.0
screen_2024,premarket,5,model,50,248,-55.64922140161111,-78.68493518186014,-29.778753233442345,1.0
screen_2024,premarket,5,prior,20,248,2.0341867738140427,-5.72866286359522,10.549397072777376,0.317
screen_2024,premarket,5,prior,50,248,2.0341867738140427,-7.482046091872006,11.218041524215598,0.36
screen_2024,update_1630,5,model,20,248,-41.86399717083608,-63.08664814596928,-22.105015782895023,1.0
screen_2024,update_1630,5,model,50,248,-41.86399717083608,-58.858259108005704,-20.538401779827716,1.0
screen_2024,update_1630,5,prior,20,248,-5.903623728474155,-12.36591443396265,0.3033617779361073,0.968
screen_2024,update_1630,5,prior,50,248,-5.903623728474155,-12.997042880221322,1.425524278897525,0.926
screen_2024,update_1730,5,model,20,248,-44.6315044672077,-66.22236645759067,-24.701506546449604,1.0
screen_2024,update_1730,5,model,50,248,-44.6315044672077,-62.54887083530288,-22.047094677481045,1.0
screen_2024,update_1730,5,prior,20,248,-6.022224617423149,-12.332992832175098,0.6462701430938034,0.952
screen_2024,update_1730,5,prior,50,248,-6.022224617423149,-13.779851821504357,2.3363497561670963,0.922
screen_2024,cutoff_1030,10,model,20,248,-90.13530517401662,-125.0582401216467,-58.619096880562964,1.0
screen_2024,cutoff_1030,10,model,50,248,-90.13530517401662,-132.9226224764554,-48.2558536054353,1.0
screen_2024,cutoff_1030,10,prior,20,248,-3.672248095058711,-21.395493339656486,13.58729081134701,0.646
screen_2024,cutoff_1030,10,prior,50,248,-3.672248095058711,-27.015655330882492,19.836928372168465,0.643
screen_2024,cutoff_1130,10,model,20,248,-86.11410794931922,-120.22146742698928,-54.25849998639455,1.0
screen_2024,cutoff_1130,10,model,50,248,-86.11410794931922,-127.49075231054714,-44.43249243636079,1.0
screen_2024,cutoff_1130,10,prior,20,248,-4.432995794557817,-20.537351748975166,12.174249665590025,0.683
screen_2024,cutoff_1130,10,prior,50,248,-4.432995794557817,-23.364872599505134,18.13247047652283,0.64
screen_2024,cutoff_1230,10,model,20,248,-86.17096048962244,-118.26094497208257,-54.79094036851744,1.0
