candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1230,3,2025-07-01,4115,1488,0.35419187417398734,330,False,-0.6493256095903908,"[0.5571276453363664, 0.012915195594773535, -0.13340603276993307, -0.12673936390777088, -0.09240881300663727, -0.2907665392035253]",2025-06-28,2022-02-24
cutoff_1230,3,2025-10-01,4440,1635,0.36638665704033263,325,False,-0.6265380463701282,"[0.5836733316738212, 0.04218626644062841, -0.13094732532145498, -0.10647081529227004, -0.0770264609986702, -0.339480558502874]",2025-09-27,2022-02-24
cutoff_1230,3,2026-01-01,4760,1711,0.3514490165427775,270,False,-0.7022048461057456,"[0.6202362206652834, 0.021604964885961885, -0.14660891452059893, -0.1336596576994037, -0.09714895374167899, -0.32761285928884504]",2025-12-27,2022-02-24
cutoff_1230,3,2026-04-01,5035,1810,0.3525645253473389,310,False,-0.7162267203568449,"[0.644880229106333, -0.021638057982471568, -0.13662773769981704, -0.14489762966602612, -0.10168768625043682, -0.29133125149495115]",2026-03-28,2022-02-24
cutoff_1230,3,2026-07-01,5345,1907,0.34882908764886855,230,False,-0.7302437900396714,"[0.6670631834717927, -0.019630490463942232, -0.12459377847198867, -0.1505991808722234, -0.10186624674429431, -0.31364940005368847]",2026-06-27,2022-02-24
cutoff_1230,5,2023-01-01,1040,267,0.2662313340247289,280,False,-1.2777677025439877,"[0.32014282217296586, 0.20411937394821145, -0.09261995083640204, -0.11509500900721341, 0.1272083131769478, -0.11628208263636045]",2022-12-29,2022-02-24
cutoff_1230,5,2023-04-01,1320,383,0.3023538277024583,305,False,-1.0551197749590384,"[0.3315706181317145, 0.07509473732909047, -0.025832603850080967, -0.1776260380340042, 0.17108325524709067, -0.04357622204815889]",2023-03-29,2022-02-24
cutoff_1230,5,2023-07-01,1625,502,0.3219636747800098,330,False,-0.9747823599549021,"[0.3849959490817237, 0.08086293445128358, -0.04968176042385178, -0.12962537999068696, 0.17184640792631858, -0.06331723500175253]",2023-06-28,2022-02-24
cutoff_1230,5,2023-10-01,1955,652,0.3491852990107693,320,False,-0.8386735108040096,"[0.41600751152434495, 0.06130808595398402, -0.03937106665670573, -0.08464608297854402, 0.16228716306050694, -0.09791559124247952]",2023-09-28,2022-02-24
cutoff_1230,5,2024-01-01,2280,740,0.3348393532331436,285,False,-0.9027228715643927,"[0.4693596127261049, 0.08400431750841401, -0.014119465737242091, -0.023976234746337612, 0.047216073539308644, -0.08997676453142472]",2023-12-29,2022-02-24
cutoff_1230,5,2024-04-01,2565,838,0.3365952870317067,300,False,-0.7527775811061851,"[0.520239439739894, -0.053524668279589724, -0.13795210325320673, -0.16058119347934113, -0.07096614838913662, -0.3026430215015535]",2024-03-29,2022-02-24
cutoff_1230,5,2024-07-01,2865,888,0.3113562740285758,325,False,-0.8145750929445228,"[0.4579591893011527, -0.07811172366316751, -0.18925714216065756, -0.14558831668942535, -0.09437772527553687, -0.28203688474393224]",2024-06-28,2022-02-24
